City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,66.29,88,8,9.86,clear sky
1,Lebu,CL,-37.6167,-73.65,52.0,92,17,8.86,few clouds
2,Hilo,US,19.7297,-155.09,72.63,91,40,6.91,light rain
3,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,25.32,broken clouds
4,Banjar,ID,-8.19,114.9675,76.91,89,100,2.73,light rain
5,Victoria,HK,22.2855,114.1577,71.26,37,19,1.99,few clouds
6,Georgetown,MY,5.4112,100.3354,87.75,74,40,4.61,scattered clouds
7,San Quintin,MX,30.4833,-115.95,60.75,72,0,2.84,clear sky
8,Rikitea,PF,-23.1203,-134.9692,76.41,76,0,20.69,clear sky
9,Borogontsy,RU,62.6683,131.1683,-11.18,96,100,7.87,overcast clouds
10,Geraldton,AU,-28.7667,114.6,75.61,50,0,23.02,clear sky
11,Kodiak,US,57.79,-152.4072,20.71,58,90,4.61,light snow
12,Vestmanna,FO,62.1564,-7.1664,32.92,64,75,6.91,broken clouds
13,Dikson,RU,73.5069,80.5464,-17.88,100,100,9.78,overcast clouds
14,Hobart,AU,-42.8794,147.3294,73.26,75,75,1.01,broken clouds
15,Clyde River,CA,70.4692,-68.5914,5.23,85,100,13.8,light snow
16,Ushuaia,AR,-54.8,-68.3,53.26,47,40,11.5,scattered clouds
17,Daru,PG,-9.0763,143.2092,86.02,70,94,6.93,overcast clouds
18,Half Moon Bay,US,37.4636,-122.4286,64.62,60,1,0.0,clear sky
19,Busselton,AU,-33.65,115.3333,70.05,44,53,17.09,broken clouds
20,Butaritari,KI,3.0707,172.7902,82.47,76,82,7.87,broken clouds
21,Saldanha,ZA,-33.0117,17.9442,53.65,72,46,5.28,scattered clouds
22,Torbay,CA,47.6666,-52.7314,40.57,86,40,18.41,scattered clouds
23,Goure,NE,13.9835,10.2704,73.02,15,33,12.08,scattered clouds
24,Albany,US,42.6001,-73.9662,34.99,87,90,3.98,overcast clouds
25,Urengoy,RU,65.9667,78.3667,-8.72,95,99,8.57,overcast clouds
26,Cape Town,ZA,-33.9258,18.4232,65.26,76,0,6.91,clear sky
27,Port Blair,IN,11.6667,92.75,78.82,87,100,17.16,light rain
28,Onguday,RU,50.75,86.15,24.89,68,10,3.49,clear sky
29,Qasigiannguit,GL,68.8193,-51.1922,22.28,66,98,18.23,overcast clouds
30,Japura,ID,-0.3167,102.35,95.56,39,53,1.41,broken clouds
31,Kaspiysk,RU,42.8816,47.6392,59.23,54,64,27.0,broken clouds
32,Belmonte,BR,-15.8631,-38.8828,77.5,87,98,13.44,light rain
33,Carnarvon,AU,-24.8667,113.6333,80.67,50,0,19.57,clear sky
34,Carmen,MX,18.6333,-91.8333,75.76,79,9,4.03,clear sky
35,Khatanga,RU,71.9667,102.5,-35.43,98,93,5.03,overcast clouds
36,Flinders,AU,-34.5833,150.8552,79.88,73,55,10.92,broken clouds
37,Broome,US,42.2506,-75.833,38.01,76,90,4.0,overcast clouds
38,Avarua,CK,-21.2078,-159.775,77.05,83,75,9.22,light rain
39,Hermanus,ZA,-34.4187,19.2345,64.8,80,17,7.18,few clouds
40,Dingle,PH,10.9995,122.6711,84.72,75,98,12.48,overcast clouds
41,Itarema,BR,-2.9248,-39.9167,78.33,81,56,9.42,broken clouds
42,Thompson,CA,55.7435,-97.8558,-2.04,84,90,3.44,light snow
43,Farah,AF,32.5,62.5,63.32,25,0,2.73,clear sky
44,Iqaluit,CA,63.7506,-68.5145,11.93,79,75,3.44,light snow
45,Huron,US,41.1501,-82.5499,37.69,88,94,6.22,overcast clouds
46,Ostrovnoy,RU,68.0531,39.5131,24.8,66,100,36.22,overcast clouds
47,Soto La Marina,MX,23.7667,-98.2167,60.78,88,43,3.96,scattered clouds
48,New Norfolk,AU,-42.7826,147.0587,78.91,31,100,1.01,overcast clouds
49,Atuona,PF,-9.8,-139.0333,78.91,75,5,20.74,clear sky
50,Paamiut,GL,61.994,-49.6678,43.27,78,100,44.94,overcast clouds
51,Ponta Do Sol,PT,32.6667,-17.1,62.01,80,80,6.22,broken clouds
52,Jamestown,US,42.097,-79.2353,36.72,82,90,8.01,overcast clouds
53,Galesong,ID,-5.3166,119.3661,87.82,76,100,8.43,overcast clouds
54,La Ronge,CA,55.1001,-105.2842,23.25,86,90,1.14,overcast clouds
55,San Ignacio,BZ,17.1561,-89.0714,69.94,100,0,0.0,clear sky
56,Mahebourg,MU,-20.4081,57.7,84.25,65,40,8.05,scattered clouds
57,Igrim,RU,63.1906,64.4162,14.52,96,100,5.57,light snow
58,Namtsy,RU,62.7161,129.6658,-11.18,97,100,7.83,overcast clouds
59,Vaini,TO,-21.2,-175.2,78.96,89,40,1.14,light rain
60,Port Alfred,ZA,-33.5906,26.891,67.69,75,93,13.6,overcast clouds
61,Yellowknife,CA,62.456,-114.3525,-11.58,83,90,5.01,overcast clouds
62,Balclutha,NZ,-46.2339,169.75,59.61,81,89,7.27,overcast clouds
63,Alekseyevka,RU,50.6309,38.6903,30.16,75,99,9.08,overcast clouds
64,Barrow,US,71.2906,-156.7887,-16.58,69,1,12.66,clear sky
65,Atar,MR,20.5169,-13.0499,67.84,18,100,9.33,overcast clouds
66,Polyarnyy,RU,69.1989,33.4478,27.07,60,100,33.38,overcast clouds
67,Mar Del Plata,AR,-38.0023,-57.5575,59.88,67,0,10.0,clear sky
68,Marsa Matruh,EG,31.3525,27.2453,61.0,82,40,13.8,scattered clouds
69,Tarata,BO,-17.6167,-66.0167,60.22,79,97,2.48,overcast clouds
70,Upernavik,GL,72.7868,-56.1549,20.55,86,97,4.68,overcast clouds
71,Auki,SB,-8.7676,160.7034,82.74,77,100,2.93,overcast clouds
72,Lerwick,GB,60.1545,-1.1494,33.8,63,89,18.84,overcast clouds
73,Vangaindrano,MG,-23.35,47.6,82.0,70,36,7.14,light rain
74,Naze,JP,28.3667,129.4833,59.92,59,90,24.36,overcast clouds
75,Zima,RU,53.9202,102.0442,31.77,63,100,13.6,overcast clouds
76,Cap-Chat,CA,49.1001,-66.6821,26.6,63,58,16.11,broken clouds
77,Sitka,US,57.0531,-135.33,42.69,75,90,18.41,light rain
78,Salalah,OM,17.0151,54.0924,80.69,26,0,14.97,clear sky
79,Najran,SA,17.4924,44.1277,59.65,26,2,2.91,clear sky
80,Macaubas,BR,-13.0194,-42.6986,70.52,80,99,2.37,overcast clouds
81,Yagoua,CM,10.3411,15.2329,74.7,27,31,6.02,scattered clouds
82,Pleszew,PL,51.8964,17.7855,33.6,96,100,6.51,overcast clouds
83,Qaanaaq,GL,77.484,-69.3632,3.09,78,74,7.38,broken clouds
84,Yashalta,RU,46.3395,42.2762,40.84,89,96,29.51,overcast clouds
85,Mandalgovi,MN,45.7625,106.2708,27.03,34,10,11.05,clear sky
86,Lata,PT,40.1629,-8.3327,44.82,84,26,1.74,scattered clouds
87,Kruisfontein,ZA,-34.0033,24.7314,63.88,74,32,6.26,scattered clouds
88,Anadyr,RU,64.75,177.4833,3.7,84,75,35.01,snow
89,Bambous Virieux,MU,-20.3428,57.7575,84.22,65,40,8.05,scattered clouds
90,Saskylakh,RU,71.9167,114.0833,-39.82,100,83,4.47,broken clouds
91,High Rock,BS,26.6208,-78.2833,57.22,58,1,6.98,clear sky
92,Taoudenni,ML,22.6783,-3.9836,61.27,16,80,12.73,broken clouds
93,Port Macquarie,AU,-31.4333,152.9167,71.89,94,90,11.5,overcast clouds
94,Kaitangata,NZ,-46.2817,169.8464,59.94,81,95,13.27,overcast clouds
95,Poronaysk,RU,49.2167,143.1167,33.84,99,100,14.81,snow
96,Airai,TL,-8.9266,125.4092,77.43,51,43,2.98,scattered clouds
97,Rushden,GB,52.2914,-0.5992,49.39,77,90,20.2,overcast clouds
98,Shelton,US,41.3165,-73.0932,41.02,84,90,1.99,overcast clouds
99,Srednekolymsk,RU,67.45,153.6833,-22.49,99,98,9.08,overcast clouds
100,Bluff,NZ,-46.6,168.3333,68.81,74,9,18.41,clear sky
101,Port Lincoln,AU,-34.7333,135.8667,65.16,64,4,16.53,clear sky
102,Simbahan,PH,6.3032,120.5836,82.22,78,74,10.94,broken clouds
103,Glenwood Springs,US,39.5505,-107.3248,38.07,37,12,2.01,few clouds
104,Hailar,CN,49.2,119.7,14.7,84,37,13.27,scattered clouds
105,Faya,SA,18.3851,42.4509,54.12,21,0,3.71,clear sky
106,Nome,US,64.5011,-165.4064,-14.73,65,1,0.0,clear sky
107,Puerto Ayora,EC,-0.7393,-90.3518,67.77,94,35,6.49,scattered clouds
108,Codrington,AU,-38.2667,141.9667,66.61,68,5,12.17,clear sky
109,Yulin,CN,22.6333,110.15,67.77,25,72,8.9,broken clouds
110,Yar-Sale,RU,66.8333,70.8333,1.15,97,100,10.8,overcast clouds
111,Nikolskoye,RU,59.7035,30.7861,22.91,91,100,8.79,overcast clouds
112,Castro,BR,-24.7911,-50.0119,56.57,78,0,2.89,clear sky
113,Montepuez,MZ,-13.1256,38.9997,77.41,68,99,5.59,overcast clouds
114,Antofagasta,CL,-23.65,-70.4,61.88,86,28,1.72,scattered clouds
115,Dicabisagan,PH,17.0818,122.4157,74.37,89,100,18.84,overcast clouds
116,Te Anau,NZ,-45.4167,167.7167,74.64,43,4,2.35,clear sky
117,Punta Arenas,CL,-53.15,-70.9167,51.91,66,90,10.36,overcast clouds
118,Aksu,CN,41.1231,80.2644,34.07,34,35,1.19,scattered clouds
119,Longyearbyen,SJ,78.2186,15.6401,6.64,61,0,19.57,clear sky
120,Mataura,NZ,-46.1927,168.8643,68.49,50,23,4.85,few clouds
121,Fort Dodge,US,42.4975,-94.168,46.49,53,90,8.05,light rain
122,East London,ZA,-33.0153,27.9116,65.34,94,75,3.44,broken clouds
123,Arraial Do Cabo,BR,-22.9661,-42.0278,73.13,91,71,4.5,broken clouds
124,Camacha,PT,33.0833,-16.3333,62.02,72,20,6.91,few clouds
125,Maues,BR,-3.3836,-57.7186,75.29,86,98,1.95,overcast clouds
126,Hithadhoo,MV,-0.6,73.0833,82.0,74,78,6.67,broken clouds
127,Tashla,RU,51.7716,52.7427,34.66,93,97,8.48,light snow
128,Ocampo,MX,21.65,-101.5,57.45,62,85,4.85,overcast clouds
129,Chokurdakh,RU,70.6333,147.9167,-14.91,99,100,6.11,overcast clouds
130,Aklavik,CA,68.2191,-135.0107,-30.17,99,69,5.3,broken clouds
131,Esperance,AU,-33.8667,121.9,75.04,53,70,14.0,broken clouds
132,Umm Kaddadah,SD,13.6017,26.6876,76.64,24,1,21.68,clear sky
133,Arlit,NE,18.7369,7.3853,66.92,25,21,6.17,few clouds
134,Mitu,CO,1.1983,-70.1733,70.95,99,92,2.39,overcast clouds
135,Bredasdorp,ZA,-34.5322,20.0403,64.27,73,68,7.38,broken clouds
136,Cardoso,BR,-20.0819,-49.9142,71.6,92,64,1.9,broken clouds
137,Kavieng,PG,-2.5744,150.7967,85.1,66,53,11.14,broken clouds
138,Ambon,ID,-3.6954,128.1814,89.74,66,40,11.5,scattered clouds
139,Broken Hill,AU,-31.95,141.4333,92.91,21,0,8.05,clear sky
140,Norman Wells,CA,65.282,-126.8329,-27.36,68,75,9.22,light snow
141,Husavik,IS,66.0449,-17.3389,21.11,89,98,8.16,overcast clouds
142,Nokaneng,BW,-19.6667,22.2667,85.51,34,76,4.41,broken clouds
143,Saint-Philippe,RE,-21.3585,55.7679,81.99,72,90,8.63,overcast clouds
144,Sorong,ID,-0.8833,131.25,83.98,73,100,7.67,light rain
145,Asau,RO,46.4333,26.4,38.39,60,100,10.36,overcast clouds
146,Shenjiamen,CN,29.9576,122.298,48.58,59,29,19.75,scattered clouds
147,Coihaique,CL,-45.5752,-72.0662,51.75,62,0,2.3,clear sky
148,Rozivka,UA,46.9385,35.7724,32.45,78,46,10.33,scattered clouds
149,Fairbanks,US,64.8378,-147.7164,6.76,76,90,0.0,overcast clouds
150,Mao,ES,39.8885,4.2658,55.96,88,40,5.75,scattered clouds
151,Jabinyanah,TN,35.035,10.9081,44.4,65,4,3.24,clear sky
152,Klaksvik,FO,62.2266,-6.589,34.72,57,54,24.38,broken clouds
153,Buala,SB,-8.145,159.5921,83.7,69,100,2.86,overcast clouds
154,Alice Springs,AU,-23.7,133.8833,98.15,11,0,12.66,clear sky
155,Severo-Kurilsk,RU,50.6789,156.125,37.44,97,100,19.15,moderate rain
156,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,75,1,2.3,clear sky
157,Shimoda,JP,34.6667,138.95,61.16,63,38,36.26,scattered clouds
158,Muros,ES,42.7762,-9.0603,58.84,96,91,10.54,overcast clouds
159,Kapaa,US,22.0752,-159.319,77.32,77,20,1.01,moderate rain
160,Pahrump,US,36.2083,-115.9839,63.1,26,0,1.01,clear sky
161,Sananduva,BR,-27.9497,-51.8067,54.27,86,0,2.57,clear sky
162,Trelleborg,SE,55.3751,13.1569,37.35,76,100,13.73,light snow
163,Provideniya,RU,64.3833,-173.3,-5.06,73,1,6.29,clear sky
164,Byron Bay,AU,-28.65,153.6167,77.05,92,98,9.66,light rain
165,Talnakh,RU,69.4865,88.3972,-21.8,100,85,2.01,overcast clouds
166,Sheboygan,US,43.7333,-87.9334,33.82,63,1,4.61,clear sky
167,Cleveland,US,41.4995,-81.6954,40.01,77,1,17.27,clear sky
168,Leningradskiy,RU,69.3833,178.4167,-22.16,96,77,10.63,broken clouds
169,Sakakah,SA,29.9697,40.2064,58.57,25,82,6.64,broken clouds
170,Alvaraes,BR,-3.2208,-64.8042,73.4,98,100,1.88,overcast clouds
171,Ambovombe,MG,-25.1667,46.0833,85.19,55,6,4.25,clear sky
172,Necochea,AR,-38.5473,-58.7368,44.04,84,54,8.46,broken clouds
173,Pori,FI,61.4833,21.7833,19.47,79,0,10.36,clear sky
174,Yacopi,CO,5.4595,-74.3382,58.08,98,95,2.66,overcast clouds
175,Ribeira Grande,PT,38.5167,-28.7,62.74,79,38,7.85,scattered clouds
176,Chuy,UY,-33.6971,-53.4616,62.55,83,77,9.64,broken clouds
177,Galdar,ES,28.147,-15.6502,61.3,71,7,7.25,clear sky
178,Port-Gentil,GA,-0.7193,8.7815,80.56,89,75,6.91,thunderstorm
179,Kayerkan,RU,69.3497,87.7602,-21.48,75,88,1.32,overcast clouds
180,Yulara,AU,-25.2406,130.9889,102.04,6,0,3.44,clear sky
181,Nizhnyaya Omka,RU,55.4338,74.9426,16.18,85,81,10.33,broken clouds
182,Newport,GB,51.5877,-2.9984,50.0,86,66,27.6,heavy intensity rain
183,Dhadar,IN,28.3305,75.0632,72.34,23,100,2.84,overcast clouds
184,San Francisco Del Mar,MX,16.2333,-94.65,75.25,79,3,21.59,clear sky
185,Souillac,MU,-20.5167,57.5167,84.36,65,40,8.05,scattered clouds
186,Ginir,ET,7.1333,40.7,65.43,26,90,6.71,overcast clouds
187,Koulikoro,ML,14.0,-7.75,68.63,18,33,8.37,scattered clouds
188,Katsuura,JP,35.1333,140.3,68.14,51,70,35.14,broken clouds
189,Cabo San Lucas,MX,22.8909,-109.9124,77.5,74,96,6.17,overcast clouds
190,College,US,64.8569,-147.8028,6.75,75,90,3.44,overcast clouds
191,Bunia,CD,1.5667,30.25,70.63,73,86,0.98,overcast clouds
192,Kavaratti,IN,10.5669,72.642,81.75,79,43,14.0,scattered clouds
193,Natitingou,BJ,10.3042,1.3796,70.43,26,44,4.52,scattered clouds
194,Hinton,CA,53.4001,-117.5857,40.1,87,90,6.29,overcast clouds
195,Maragogi,BR,-9.0122,-35.2225,76.37,85,95,5.48,overcast clouds
196,Berlevag,NO,70.8578,29.0864,28.4,58,100,30.67,light snow
197,San Nicolas,PH,18.1725,120.5953,84.11,58,75,24.16,broken clouds
198,Iracoubo,GF,5.4802,-53.2011,77.0,90,98,8.41,light rain
199,Dunnville,CA,42.9001,-79.6163,40.1,90,99,17.65,overcast clouds
200,San Patricio,US,28.017,-97.5169,67.82,79,97,6.44,overcast clouds
201,Ovalle,CL,-30.5983,-71.2003,60.85,60,0,2.59,clear sky
202,Salinopolis,BR,-0.6136,-47.3561,80.22,81,100,9.57,overcast clouds
203,Sarangani,PH,5.4033,125.4636,82.58,77,100,10.31,overcast clouds
204,Sioux Lookout,CA,50.1001,-91.917,15.87,86,90,4.61,overcast clouds
205,Talaya,RU,61.3833,152.75,-41.8,100,57,2.33,broken clouds
206,Port Elizabeth,ZA,-33.918,25.5701,68.09,88,0,8.05,clear sky
207,Lompoc,US,34.6391,-120.4579,67.51,80,1,3.44,clear sky
208,Mogadishu,SO,2.0371,45.3438,82.27,74,0,12.66,clear sky
209,Verkhoyansk,RU,67.5447,133.385,-27.15,100,98,0.72,overcast clouds
210,Kamaishi,JP,39.2667,141.8833,49.15,75,89,14.81,overcast clouds
211,Avera,US,33.194,-82.5271,52.72,64,1,6.51,clear sky
212,Port Hardy,CA,50.6996,-127.4199,49.75,100,90,2.3,mist
213,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,87,72,7.27,broken clouds
214,Ossora,RU,59.2353,163.0719,12.45,94,33,4.23,scattered clouds
215,Bengkulu,ID,-3.8004,102.2655,84.16,63,61,9.08,broken clouds
216,Guerrero Negro,MX,27.9769,-114.0611,61.97,87,0,5.28,clear sky
217,Naryshkino,RU,52.9678,35.7268,27.93,76,79,13.33,broken clouds
218,Mocuba,MZ,-16.8392,36.9856,84.36,59,1,4.65,clear sky
219,Hasaki,JP,35.7333,140.8333,66.6,48,70,12.41,broken clouds
220,Caxito,AO,-8.5785,13.6643,77.65,83,97,2.91,overcast clouds
221,Granada,ES,37.25,-3.25,38.3,44,0,3.98,clear sky
222,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,79,0,8.01,clear sky
223,Phitsanulok,TH,16.9167,100.5,83.48,52,49,2.35,scattered clouds
224,Faanui,PF,-16.4833,-151.75,81.91,74,100,20.8,overcast clouds
225,Ust-Uda,RU,54.1742,103.0304,31.57,65,100,17.96,overcast clouds
226,Turukhansk,RU,65.8167,87.9833,-24.75,100,59,5.26,broken clouds
227,Vardo,NO,70.3705,31.1107,32.2,55,100,34.99,overcast clouds
228,Coahuayana,MX,18.7333,-103.6833,73.47,95,72,2.95,broken clouds
229,Abu Dhabi,AE,24.4667,54.3667,73.42,69,0,6.91,clear sky
230,Sobolevo,RU,54.4299,31.8996,21.78,92,99,11.32,overcast clouds
231,Chase,CA,50.8165,-119.6857,55.15,95,100,3.83,overcast clouds
232,Dalby,AU,-27.1833,151.2667,79.5,60,64,5.32,broken clouds
